"customerid","recencydays","totalorders","totalspent","customersegment"
12433,1,7,13375.87,"Champions"
12434,85,2,806.14,"Lost / Inactive"
12435,80,2,7829.89,"Lost / Inactive"
12436,100,1,509.01,"At Risk Customers"
12437,2,18,4951.41,"Champions"
12438,15,2,2906.85,"New / Recent Customers"
12441,367,1,173.55,"Lost / Inactive"
12442,4,1,172.06,"New / Recent Customers"
12444,22,5,5005.46,"Champions"
12445,23,1,133.40,"New / Recent Customers"
12446,58,1,1002.31,"Lost / Inactive"
12447,244,1,476.49,"Lost / Inactive"
12448,45,1,449.45,"Lost / Inactive"
12449,23,4,4067.29,"Loyal Customers"
12450,157,2,197.88,"At Risk Customers"
12451,11,5,9035.52,"Champions"
12452,17,2,430.57,"New / Recent Customers"
12453,135,1,707.09,"At Risk Customers"
12454,57,1,3528.34,"Lost / Inactive"
12455,74,6,2466.86,"Loyal Customers"
12456,45,3,3181.04,"Loyal Customers"
12457,67,7,2363.23,"Loyal Customers"
12458,72,2,947.40,"Lost / Inactive"
12461,95,2,826.88,"At Risk Customers"
12462,19,2,1189.59,"New / Recent Customers"
12463,54,4,1344.78,"Loyal Customers"
12464,11,8,1212.05,"Champions"
12465,18,2,742.19,"New / Recent Customers"
12468,188,2,729.54,"Lost / Inactive"
12471,3,30,19824.05,"Champions"
12472,33,7,6572.11,"Loyal Customers"
12473,30,5,3938.55,"Champions"
12474,18,18,7375.79,"Champions"
12475,54,1,723.38,"Lost / Inactive"
12476,16,11,6816.42,"Champions"
12477,23,6,13219.74,"Champions"
12478,4,1,680.99,"New / Recent Customers"
12479,12,1,527.20,"New / Recent Customers"
12480,29,4,3281.63,"Loyal Customers"
12481,23,10,5596.32,"Champions"
12483,18,8,2484.98,"Champions"
12484,33,6,4541.72,"Loyal Customers"
12488,10,3,1298.66,"Loyal Customers"
12489,337,1,334.93,"Lost / Inactive"
12490,6,10,5417.93,"Champions"
12491,39,1,460.40,"Lost / Inactive"
12492,64,2,263.21,"Lost / Inactive"
12493,166,2,433.74,"At Risk Customers"
12494,16,7,1246.10,"Champions"
12497,82,1,1043.10,"Lost / Inactive"
12498,22,3,403.70,"Loyal Customers"
12500,24,11,4257.82,"Champions"
12501,337,1,2169.39,"Lost / Inactive"
12502,96,5,3723.87,"At Risk Customers"
12504,19,2,482.05,"New / Recent Customers"
12506,233,1,73.50,"Lost / Inactive"
12507,135,3,1304.81,"At Risk Customers"
12508,27,2,398.27,"New / Recent Customers"
12509,285,1,176.50,"Lost / Inactive"
12510,143,2,982.57,"At Risk Customers"
12512,67,2,138.03,"Lost / Inactive"
12513,113,1,612.29,"At Risk Customers"
12514,268,1,1017.68,"Lost / Inactive"
12515,354,1,383.70,"Lost / Inactive"
12516,78,2,1312.06,"Lost / Inactive"
12517,29,5,2502.84,"Champions"
12518,1,5,2056.89,"Champions"
12519,64,1,340.84,"Lost / Inactive"
12520,80,5,2634.26,"Loyal Customers"
12521,143,1,599.68,"At Risk Customers"
12522,40,2,192.72,"Lost / Inactive"
12523,20,11,1789.77,"Champions"
12524,10,8,4485.72,"Champions"
12526,1,3,1316.66,"Loyal Customers"
12527,82,3,348.71,"Loyal Customers"
12528,10,6,1933.48,"Champions"
12530,60,4,1662.28,"Loyal Customers"
12531,15,1,125.22,"New / Recent Customers"
12532,31,1,349.83,"Lost / Inactive"
12534,131,1,1089.18,"At Risk Customers"
12535,92,2,716.35,"At Risk Customers"
12536,44,3,12601.83,"Loyal Customers"
12538,30,1,363.95,"New / Recent Customers"
12539,23,4,5568.35,"Loyal Customers"
12540,20,17,13400.24,"Champions"
12541,30,3,981.18,"Loyal Customers"
12544,37,1,372.70,"Lost / Inactive"
12545,76,2,1000.39,"Lost / Inactive"
12546,47,2,1161.50,"Lost / Inactive"
12547,198,2,207.80,"Lost / Inactive"
12548,167,1,95.20,"At Risk Customers"
12550,80,1,964.83,"Lost / Inactive"
12551,358,1,168.00,"Lost / Inactive"
12552,39,2,437.82,"Lost / Inactive"
12553,9,10,3692.28,"Champions"
12556,51,2,603.71,"Lost / Inactive"
12557,17,5,11990.96,"Champions"
12558,8,1,269.96,"New / Recent Customers"
12559,311,2,561.71,"Lost / Inactive"
12560,6,3,2134.01,"Loyal Customers"
12561,303,1,238.85,"Lost / Inactive"
12562,9,7,3781.74,"Champions"
12564,262,1,456.90,"Lost / Inactive"
12565,289,1,145.92,"Lost / Inactive"
12566,87,1,351.65,"Lost / Inactive"
12567,23,10,9401.28,"Champions"
12569,3,32,4124.69,"Champions"
12571,40,2,519.61,"Lost / Inactive"
12572,9,2,1020.42,"New / Recent Customers"
12573,228,1,160.54,"Lost / Inactive"
12574,316,1,218.45,"Lost / Inactive"
12576,36,5,1315.83,"Loyal Customers"
12577,36,3,657.80,"Loyal Customers"
12578,22,2,2794.51,"New / Recent Customers"
12579,79,1,440.42,"Lost / Inactive"
12580,247,1,415.70,"Lost / Inactive"
12581,40,1,197.71,"Lost / Inactive"
12582,239,2,511.36,"Lost / Inactive"
12583,3,15,7281.38,"Champions"
12584,4,9,2338.15,"Champions"
12585,235,2,2040.10,"Lost / Inactive"
12586,18,1,196.94,"New / Recent Customers"
12587,8,1,144.00,"New / Recent Customers"
12588,40,1,214.90,"Lost / Inactive"
12589,29,2,646.68,"New / Recent Customers"
12590,212,2,9864.26,"Lost / Inactive"
12591,318,1,452.85,"Lost / Inactive"
12592,93,2,437.60,"At Risk Customers"
12593,109,3,418.10,"At Risk Customers"
12594,38,10,3338.22,"Loyal Customers"
12596,52,2,618.27,"Lost / Inactive"
12597,20,4,3811.22,"Loyal Customers"
12598,10,8,3023.08,"Champions"
12599,30,7,1032.58,"Champions"
12600,29,10,2599.04,"Champions"
12601,190,5,577.06,"Lost / Inactive"
12602,59,1,153.12,"Lost / Inactive"
12603,22,1,739.20,"New / Recent Customers"
12604,80,2,254.18,"Lost / Inactive"
12607,61,1,1579.51,"Lost / Inactive"
12609,79,3,1126.85,"Loyal Customers"
12610,23,5,2099.54,"Champions"
12611,53,1,1193.32,"Lost / Inactive"
12612,75,1,704.04,"Lost / Inactive"
12613,58,5,3344.38,"Loyal Customers"
12614,278,1,315.60,"Lost / Inactive"
12615,3,4,2291.19,"Loyal Customers"
12616,96,2,713.30,"At Risk Customers"
12617,30,1,355.53,"New / Recent Customers"
12618,22,1,177.31,"New / Recent Customers"
12619,17,9,3641.24,"Champions"
12620,15,3,1339.41,"Loyal Customers"
12621,2,20,13689.67,"Champions"
12622,233,1,180.10,"Lost / Inactive"
12623,277,1,305.10,"Lost / Inactive"
12624,107,2,641.13,"At Risk Customers"
12625,212,2,2683.82,"Lost / Inactive"
12626,24,9,6620.48,"Champions"
12627,11,7,4478.53,"Champions"
12628,5,3,786.46,"Loyal Customers"
12630,10,2,1270.88,"New / Recent Customers"
12631,58,1,640.50,"Lost / Inactive"
12633,59,4,2163.98,"Loyal Customers"
12635,90,2,1689.18,"Lost / Inactive"
12637,68,8,6021.90,"Loyal Customers"
12638,34,1,671.69,"Lost / Inactive"
12639,239,1,486.10,"Lost / Inactive"
12640,24,3,1174.58,"Loyal Customers"
12641,116,1,185.90,"At Risk Customers"
12642,26,3,1013.26,"Loyal Customers"
12643,129,6,3344.64,"At Risk Customers"
12644,130,1,477.91,"At Risk Customers"
12645,34,4,1775.18,"Loyal Customers"
12646,5,2,1346.97,"New / Recent Customers"
12647,23,12,3722.82,"Champions"
12648,155,1,318.05,"At Risk Customers"
12649,108,3,623.51,"At Risk Customers"
12650,4,1,314.44,"New / Recent Customers"
12651,335,1,114.00,"Lost / Inactive"
12652,332,1,919.98,"Lost / Inactive"
12653,149,2,2209.85,"At Risk Customers"
12654,11,5,601.98,"Champions"
12656,18,5,4051.17,"Champions"
12657,12,4,1643.18,"Loyal Customers"
12658,19,1,686.05,"New / Recent Customers"
12659,30,1,91.68,"New / Recent Customers"
12660,12,1,245.10,"New / Recent Customers"
12662,1,11,3849.78,"Champions"
12664,9,9,4881.88,"Champions"
12665,325,1,63.00,"Lost / Inactive"
12667,59,1,620.13,"Lost / Inactive"
12668,12,4,3807.15,"Loyal Customers"
12669,151,3,2744.03,"At Risk Customers"
12670,11,5,2996.05,"Champions"
12672,330,1,225.90,"Lost / Inactive"
12673,6,2,610.52,"New / Recent Customers"
12674,39,4,1970.60,"Loyal Customers"
12676,25,6,1331.39,"Champions"
12678,43,12,17628.46,"Loyal Customers"
12679,59,4,1113.02,"Loyal Customers"
12680,1,4,862.81,"Loyal Customers"
12681,15,22,13787.54,"Champions"
12682,4,31,12288.22,"Champions"
12683,5,15,8476.57,"Champions"
12684,8,7,2283.63,"Champions"
12685,29,6,2863.08,"Champions"
12686,372,1,89.14,"Lost / Inactive"
12688,114,1,4873.81,"At Risk Customers"
12689,26,2,1247.61,"New / Recent Customers"
12690,206,1,389.01,"Lost / Inactive"
12691,29,6,1035.80,"Champions"
12693,128,4,855.91,"At Risk Customers"
12694,71,2,869.67,"Lost / Inactive"
12695,8,4,582.10,"Loyal Customers"
12697,29,3,957.59,"Loyal Customers"
12700,8,4,4939.99,"Loyal Customers"
12701,80,2,797.71,"Lost / Inactive"
12702,20,1,219.00,"New / Recent Customers"
12703,72,1,283.55,"Lost / Inactive"
12704,8,8,2340.84,"Champions"
12705,16,9,6868.29,"Champions"
12707,292,1,603.42,"Lost / Inactive"
12708,30,10,2712.91,"Champions"
12709,16,15,9736.52,"Champions"
12710,97,3,1149.02,"At Risk Customers"
12712,29,13,4396.13,"Champions"
12713,1,1,848.55,"New / Recent Customers"
12714,10,5,4708.86,"Champions"
12715,107,1,353.86,"At Risk Customers"
12716,4,2,1053.49,"New / Recent Customers"
12717,152,2,1030.98,"At Risk Customers"
12718,72,1,238.25,"Lost / Inactive"
12719,6,2,644.95,"New / Recent Customers"
12720,3,25,5781.73,"Champions"
12721,32,6,2656.13,"Loyal Customers"
12722,86,4,997.63,"Loyal Customers"
12723,4,5,725.07,"Champions"
12724,6,4,1031.41,"Loyal Customers"
12725,372,1,427.80,"Lost / Inactive"
12726,29,7,2609.10,"Champions"
12727,11,7,3980.70,"Champions"
12728,72,4,836.33,"Loyal Customers"
12729,114,1,453.01,"At Risk Customers"
12731,24,12,18895.91,"Champions"
12732,180,1,236.26,"At Risk Customers"
12733,235,1,383.95,"Lost / Inactive"
12734,353,1,110.40,"Lost / Inactive"
12735,316,2,779.57,"Lost / Inactive"
12736,333,1,234.00,"Lost / Inactive"
12738,373,1,155.35,"Lost / Inactive"
12739,79,2,1013.04,"Lost / Inactive"
12740,64,1,427.60,"Lost / Inactive"
12743,135,2,546.43,"At Risk Customers"
12744,52,7,21279.29,"Loyal Customers"
12747,3,11,4196.01,"Champions"
12748,1,209,33719.73,"Champions"
12749,4,5,4090.88,"Champions"
12750,129,1,275.88,"At Risk Customers"
12752,82,1,4366.78,"Lost / Inactive"
12753,23,6,21429.39,"Champions"
12754,236,3,3010.74,"Lost / Inactive"
12755,281,2,3811.95,"Lost / Inactive"
12756,87,1,112.08,"Lost / Inactive"
12757,16,13,7857.10,"Champions"
12758,117,2,2791.59,"At Risk Customers"
12759,53,3,1531.44,"Loyal Customers"
12762,8,2,1898.52,"New / Recent Customers"
12763,139,2,494.08,"At Risk Customers"
12764,317,1,1693.88,"Lost / Inactive"
12766,4,7,6989.63,"Champions"
12769,239,1,1143.60,"Lost / Inactive"
12770,211,1,1351.45,"Lost / Inactive"
12772,60,1,892.47,"Lost / Inactive"
12775,18,5,1386.04,"Champions"
12778,20,6,822.23,"Champions"
12779,38,8,3981.36,"Loyal Customers"
12781,64,2,826.74,"Lost / Inactive"
12782,5,5,2330.92,"Champions"
12783,3,6,2225.91,"Champions"
12784,10,2,574.42,"New / Recent Customers"
12785,365,1,311.95,"Lost / Inactive"
12787,10,3,463.66,"Loyal Customers"
12789,66,1,91.85,"Lost / Inactive"
12790,193,1,324.92,"Lost / Inactive"
12791,374,1,192.60,"Lost / Inactive"
12792,257,1,400.54,"Lost / Inactive"
12793,335,2,545.48,"Lost / Inactive"
12794,54,2,860.41,"Lost / Inactive"
12795,19,1,430.48,"New / Recent Customers"
12797,366,1,254.03,"Lost / Inactive"
12798,11,3,6977.04,"Loyal Customers"
12802,187,1,427.58,"Lost / Inactive"
12808,37,3,483.65,"Loyal Customers"
12809,178,1,489.31,"At Risk Customers"
12811,261,3,514.85,"Lost / Inactive"
12812,45,1,229.64,"Lost / Inactive"
12814,102,1,125.92,"At Risk Customers"
12815,148,2,1063.46,"At Risk Customers"
12816,96,2,572.20,"At Risk Customers"
12817,282,1,166.04,"Lost / Inactive"
12818,262,1,1542.08,"Lost / Inactive"
12820,4,4,942.34,"Loyal Customers"
12821,215,1,92.72,"Lost / Inactive"
12822,71,2,948.88,"Lost / Inactive"
12823,75,5,1759.50,"Loyal Customers"
12824,60,1,397.12,"Lost / Inactive"
12826,3,7,1474.72,"Champions"
12827,6,3,430.15,"Loyal Customers"
12828,3,6,1018.71,"Champions"
12829,337,2,293.00,"Lost / Inactive"
12830,38,6,6814.64,"Loyal Customers"
12831,263,1,215.05,"Lost / Inactive"
12832,33,2,383.03,"Lost / Inactive"
12833,146,1,417.38,"At Risk Customers"
12834,283,1,312.38,"Lost / Inactive"
12836,60,4,2612.86,"Loyal Customers"
12837,174,1,134.10,"At Risk Customers"
12838,34,2,683.13,"Lost / Inactive"
12839,3,14,5591.42,"Champions"
12840,144,4,2726.77,"At Risk Customers"
12841,5,25,4022.35,"Champions"
12842,71,2,1118.99,"Lost / Inactive"
12843,66,8,1702.26,"Loyal Customers"
12844,30,2,325.96,"New / Recent Customers"
12845,268,4,354.09,"Lost / Inactive"
12847,23,1,871.54,"New / Recent Customers"
12849,32,2,1050.89,"Lost / Inactive"
12851,97,1,135.18,"At Risk Customers"
12852,295,1,311.55,"Lost / Inactive"
12853,135,6,1957.10,"At Risk Customers"
12854,79,3,1324.50,"Loyal Customers"
12855,373,1,38.10,"Lost / Inactive"
12856,8,6,2179.93,"Champions"
12857,211,2,1106.40,"Lost / Inactive"
12863,53,1,521.20,"Lost / Inactive"
12864,139,1,147.12,"At Risk Customers"
12865,27,2,1568.23,"New / Recent Customers"
12866,284,1,559.12,"Lost / Inactive"
12867,27,7,4036.82,"Champions"
12868,186,6,1607.06,"Lost / Inactive"
12871,85,2,380.64,"Lost / Inactive"
12872,327,2,599.97,"Lost / Inactive"
12873,283,1,374.00,"Lost / Inactive"
12875,144,2,343.23,"At Risk Customers"
12876,58,2,2218.02,"Lost / Inactive"
12877,4,12,1535.77,"Champions"
12878,237,2,854.99,"Lost / Inactive"
12879,45,3,573.22,"Loyal Customers"
12881,276,1,298.00,"Lost / Inactive"
12882,10,2,1463.04,"New / Recent Customers"
12883,25,4,703.47,"Loyal Customers"
12884,89,1,309.05,"Lost / Inactive"
12885,64,3,1175.22,"Loyal Customers"
12886,68,2,1378.40,"Lost / Inactive"
12888,215,2,354.12,"Lost / Inactive"
12890,25,1,380.47,"New / Recent Customers"
12891,186,3,331.00,"Lost / Inactive"
12893,31,1,188.14,"Lost / Inactive"
12895,43,2,372.80,"Lost / Inactive"
12897,205,2,216.50,"Lost / Inactive"
12901,9,28,17654.54,"Champions"
12902,265,1,138.68,"Lost / Inactive"
12904,19,2,509.58,"New / Recent Customers"
12906,12,5,2919.81,"Champions"
12908,177,2,750.00,"At Risk Customers"
12909,40,5,2178.67,"Loyal Customers"
12910,24,8,3075.04,"Champions"
12912,3,5,1662.30,"Champions"
12913,5,5,2483.63,"Champions"
12915,149,2,363.65,"At Risk Customers"
12916,139,4,3006.15,"At Risk Customers"
12917,129,1,594.00,"At Risk Customers"
12919,9,6,1335.19,"Champions"
12920,18,1,164.23,"New / Recent Customers"
12921,10,37,16587.09,"Champions"
12922,162,1,405.38,"At Risk Customers"
12923,65,1,176.97,"Lost / Inactive"
12924,89,4,933.70,"Loyal Customers"
12925,5,2,694.05,"New / Recent Customers"
12928,36,5,2062.70,"Loyal Customers"
12929,312,1,117.85,"Lost / Inactive"
12930,79,2,415.80,"Lost / Inactive"
12931,22,15,42055.96,"Champions"
12933,25,3,607.53,"Loyal Customers"
12935,3,7,2160.70,"Champions"
12936,18,4,1063.90,"Loyal Customers"
12937,16,4,1504.27,"Loyal Customers"
12938,26,1,114.14,"New / Recent Customers"
12939,65,8,11581.80,"Loyal Customers"
12940,55,2,913.54,"Lost / Inactive"
12942,132,3,683.90,"At Risk Customers"
12944,36,2,604.51,"Lost / Inactive"
12945,289,1,462.95,"Lost / Inactive"
12947,144,6,1603.99,"At Risk Customers"
12948,17,7,2064.95,"Champions"
12949,31,8,4167.22,"Loyal Customers"
12950,3,3,1843.00,"Loyal Customers"
12951,9,6,1064.07,"Champions"
12952,6,4,1387.79,"Loyal Customers"
12953,10,1,329.85,"New / Recent Customers"
12955,2,11,4757.16,"Champions"
12956,307,1,108.07,"Lost / Inactive"
12957,10,8,4017.54,"Champions"
12962,8,2,266.39,"New / Recent Customers"
12963,9,8,1856.63,"Champions"
12965,90,1,771.91,"Lost / Inactive"
12966,10,1,160.18,"New / Recent Customers"
12967,359,2,1660.90,"Lost / Inactive"
12968,113,1,135.95,"At Risk Customers"
12970,8,4,452.24,"Loyal Customers"
12971,4,86,11189.91,"Champions"
12974,198,1,144.80,"Lost / Inactive"
12976,212,1,738.60,"Lost / Inactive"
12977,157,1,39.24,"At Risk Customers"
12980,158,9,7374.90,"At Risk Customers"
12981,30,2,372.22,"New / Recent Customers"
12982,243,1,390.54,"Lost / Inactive"
12984,19,1,97.50,"New / Recent Customers"
12985,1,2,1239.38,"New / Recent Customers"
12987,74,2,558.70,"Lost / Inactive"
12988,293,1,535.32,"Lost / Inactive"
12989,4,15,6924.11,"Champions"
12990,32,3,409.50,"Loyal Customers"
12991,24,2,503.76,"New / Recent Customers"
12993,24,4,414.76,"Loyal Customers"
12994,5,3,974.42,"Loyal Customers"
12995,86,1,211.32,"Lost / Inactive"
12997,23,4,1226.89,"Loyal Customers"
12999,197,3,455.88,"Lost / Inactive"
13000,107,3,534.85,"At Risk Customers"
13001,5,13,9818.82,"Champions"
13002,319,1,120.95,"Lost / Inactive"
13003,106,3,149.05,"At Risk Customers"
13004,12,18,5655.91,"Champions"
13005,174,2,513.70,"At Risk Customers"
13006,57,1,81.57,"Lost / Inactive"
13008,324,1,229.47,"Lost / Inactive"
13011,373,1,50.55,"Lost / Inactive"
13012,10,8,1661.84,"Champions"
13013,2,13,4810.94,"Champions"
13014,11,10,3466.28,"Champions"
13015,54,5,3346.28,"Loyal Customers"
13016,74,3,789.89,"Loyal Customers"
13017,8,1,204.00,"New / Recent Customers"
13018,17,28,7277.70,"Champions"
13021,5,9,2616.38,"Champions"
13023,65,2,689.90,"Lost / Inactive"
13026,2,5,975.36,"Champions"
13027,114,6,6912.00,"At Risk Customers"
13028,23,2,661.32,"New / Recent Customers"
13029,31,3,1247.50,"Loyal Customers"
13030,12,2,799.48,"New / Recent Customers"
13032,53,2,1010.18,"Lost / Inactive"
13033,358,1,190.55,"Lost / Inactive"
13034,55,2,642.77,"Lost / Inactive"
13035,74,2,921.88,"Lost / Inactive"
13037,139,3,881.07,"At Risk Customers"
13038,81,3,908.46,"Loyal Customers"
13040,9,2,676.99,"New / Recent Customers"
13043,274,1,516.42,"Lost / Inactive"
13044,292,1,560.47,"Lost / Inactive"
13045,100,1,305.28,"At Risk Customers"
13046,31,2,629.31,"Lost / Inactive"
13047,32,10,3237.54,"Loyal Customers"
13048,15,4,1835.91,"Loyal Customers"
13049,65,2,656.68,"Lost / Inactive"
13050,15,17,5836.86,"Champions"
13052,213,1,348.15,"Lost / Inactive"
13055,79,3,1214.41,"Loyal Customers"
13058,25,3,271.40,"Loyal Customers"
13059,250,1,183.40,"Lost / Inactive"
13060,254,1,307.53,"Lost / Inactive"
13061,73,1,248.61,"Lost / Inactive"
13062,192,1,346.98,"Lost / Inactive"
13064,13,4,1119.49,"Loyal Customers"
13065,374,1,205.86,"Lost / Inactive"
13066,25,2,470.80,"New / Recent Customers"
13067,83,1,115.46,"Lost / Inactive"
13068,11,2,344.00,"New / Recent Customers"
13069,1,24,4436.12,"Champions"
13070,193,1,228.80,"Lost / Inactive"
13072,267,1,177.15,"Lost / Inactive"
13075,130,1,919.61,"At Risk Customers"
13077,2,4,729.27,"Loyal Customers"
13078,4,26,12627.94,"Champions"
13079,5,5,220.10,"Champions"
13080,180,1,58.08,"At Risk Customers"
13081,12,11,28337.38,"Champions"
13082,127,9,3613.63,"At Risk Customers"
13083,5,2,303.75,"New / Recent Customers"
13085,158,2,416.08,"At Risk Customers"
13089,3,97,58825.83,"Champions"
13090,9,14,8910.82,"Champions"
13091,29,1,345.82,"New / Recent Customers"
13092,71,5,477.83,"Loyal Customers"
13093,276,8,7832.47,"Lost / Inactive"
13094,22,12,1927.32,"Champions"
13095,71,1,74.40,"Lost / Inactive"
13097,33,10,6010.42,"Loyal Customers"
13098,2,28,28882.44,"Champions"
13099,100,1,207.36,"At Risk Customers"
13101,235,1,101.19,"Lost / Inactive"
13102,2,24,6424.09,"Champions"
13103,40,1,243.94,"Lost / Inactive"
13104,4,6,1098.48,"Champions"
13106,134,1,76.50,"At Risk Customers"
13107,45,4,1531.62,"Loyal Customers"
13108,373,1,350.06,"Lost / Inactive"
13109,60,2,786.54,"Lost / Inactive"
13110,32,7,1488.67,"Loyal Customers"
13113,1,24,12245.96,"Champions"
13115,12,4,2294.78,"Loyal Customers"
13116,139,1,501.14,"At Risk Customers"
13117,22,8,984.91,"Champions"
13118,20,5,1197.81,"Champions"
13120,239,1,30.60,"Lost / Inactive"
13121,270,1,283.73,"Lost / Inactive"
13122,95,2,922.39,"At Risk Customers"
13124,90,3,3866.33,"Loyal Customers"
13126,5,8,2099.64,"Champions"
13127,78,1,259.17,"Lost / Inactive"
13130,95,1,64.00,"At Risk Customers"
13131,24,3,1073.30,"Loyal Customers"
13132,262,1,77.30,"Lost / Inactive"
13133,274,2,109.80,"Lost / Inactive"
13134,86,4,1793.58,"Loyal Customers"
13135,197,1,3096.00,"Lost / Inactive"
13136,57,5,2607.61,"Loyal Customers"
13137,11,8,3650.41,"Champions"
13138,23,6,962.39,"Champions"
13139,17,7,5064.94,"Champions"
13140,109,3,423.72,"At Risk Customers"
13141,85,5,2388.75,"Loyal Customers"
13142,20,1,307.09,"New / Recent Customers"
13144,333,1,110.95,"Lost / Inactive"
13145,40,4,618.52,"Loyal Customers"
13146,27,1,228.91,"New / Recent Customers"
13147,11,4,712.80,"Loyal Customers"
13148,30,12,3707.12,"Champions"
13149,15,4,1676.06,"Loyal Customers"
13151,296,1,1257.87,"Lost / Inactive"
13153,6,1,486.22,"New / Recent Customers"
13155,34,4,971.76,"Loyal Customers"
13157,50,4,1741.22,"Loyal Customers"
13158,95,4,1201.06,"At Risk Customers"
13159,9,4,1437.85,"Loyal Customers"
13160,23,1,91.80,"New / Recent Customers"
13161,314,1,112.75,"Lost / Inactive"
13162,123,4,1688.29,"At Risk Customers"
13165,47,2,1021.48,"Lost / Inactive"
13166,284,1,417.20,"Lost / Inactive"
13167,19,4,791.33,"Loyal Customers"
13168,37,4,1319.19,"Loyal Customers"
13169,64,2,712.88,"Lost / Inactive"
13170,27,1,116.01,"New / Recent Customers"
13171,22,3,468.41,"Loyal Customers"
13173,5,2,353.65,"New / Recent Customers"
13174,17,3,2817.03,"Loyal Customers"
13176,47,1,492.84,"Lost / Inactive"
13177,65,1,282.45,"Lost / Inactive"
13178,27,11,5725.47,"Champions"
13182,46,1,121.18,"Lost / Inactive"
13183,8,9,3957.78,"Champions"
13184,15,10,1701.29,"Champions"
13185,268,1,71.40,"Lost / Inactive"
13186,40,3,1575.89,"Loyal Customers"
13187,338,1,236.02,"Lost / Inactive"
13188,12,1,114.60,"New / Recent Customers"
13189,19,2,260.68,"New / Recent Customers"
13192,96,2,911.94,"At Risk Customers"
13193,62,1,117.88,"Lost / Inactive"
13194,136,1,60.70,"At Risk Customers"
13196,12,4,1797.78,"Loyal Customers"
13198,11,6,3401.24,"Champions"
13199,4,38,9817.12,"Champions"
13200,20,4,870.09,"Loyal Customers"
13203,10,4,869.46,"Loyal Customers"
13207,16,2,250.26,"New / Recent Customers"
13208,59,6,1223.90,"Loyal Customers"
13209,31,8,5891.61,"Loyal Customers"
13210,94,1,353.48,"At Risk Customers"
13211,11,3,1197.42,"Loyal Customers"
13212,20,3,788.08,"Loyal Customers"
13213,57,5,1520.58,"Loyal Customers"
13216,268,1,333.74,"Lost / Inactive"
13217,123,3,533.98,"At Risk Customers"
13218,128,1,62.64,"At Risk Customers"
13220,79,4,819.29,"Loyal Customers"
13221,241,2,847.41,"Lost / Inactive"
